country,indicatorType,indicator,unit,year,value
algeria,economic indicators,GDP,US $B,2017,
algeria,economic indicators,GDP based on PPP,Int. $B,2017,
algeria,economic indicators,Real GDP growth,%,2017,
algeria,economic indicators,GDP per capita,US $,2017,
algeria,economic indicators,GDP per capita based on PPP,Int. $B,2017,
algeria,economic indicators,Population,million,2017,
algeria,economic indicators,Land Area,sq.km,2017,
algeria,economic indicators,Human Development Index,,2017,
algeria,economic indicators,Inflation rate,%,2017,
algeria,economic indicators,Unemployment rate,%,2017,
algeria,economic indicators,Current account balance,US $B,2017,
algeria,economic indicators,Government Gross Debt (share of GDP),%,2017,
algeria,economic indicators,International Reserves,US $B,2017,
algeria,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2017,
algeria,economic indicators,CO2 emissions per capita,metric tons,2017,
algeria,economic indicators,GDP,US $B,2016,168.32
algeria,economic indicators,GDP based on PPP,Int. $B,2016,609.39
algeria,economic indicators,Real GDP growth,%,2016,3.6
algeria,economic indicators,GDP per capita,US $,2016,4129
algeria,economic indicators,GDP per capita based on PPP,Int. $B,2016,14950
algeria,economic indicators,Population,million,2016,40.38
algeria,economic indicators,Land Area,sq.km,2016,2381741
algeria,economic indicators,Human Development Index,,2016,
algeria,economic indicators,Inflation rate,%,2016,5.9
algeria,economic indicators,Unemployment rate,%,2016,9.9
algeria,economic indicators,Current account balance,US $B,2016,-25.3
algeria,economic indicators,Government Gross Debt (share of GDP),%,2016,13
algeria,economic indicators,International Reserves,US $B,2016,
algeria,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2016,
algeria,economic indicators,CO2 emissions per capita,metric tons,2016,
algeria,economic indicators,GDP,US $B,2015,166.84
algeria,economic indicators,GDP based on PPP,Int. $B,2015,580.74
algeria,economic indicators,Real GDP growth,%,2015,3.9
algeria,economic indicators,GDP per capita,US $,2015,4175
algeria,economic indicators,GDP per capita based on PPP,Int. $B,2015,14532
algeria,economic indicators,Population,million,2015,39.67
algeria,economic indicators,Land Area,sq.km,2015,2381741
algeria,economic indicators,Human Development Index,,2015,
algeria,economic indicators,Inflation rate,%,2015,4.8
algeria,economic indicators,Unemployment rate,%,2015,11.2
algeria,economic indicators,Current account balance,US $B,2015,-27.5
algeria,economic indicators,Government Gross Debt (share of GDP),%,2015,9.1
algeria,economic indicators,International Reserves,US $B,2015,150.6
algeria,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2015,269.37
algeria,economic indicators,CO2 emissions per capita,metric tons,2015,3.72
algeria,economic indicators,GDP,US $B,2014,213.52
algeria,economic indicators,GDP based on PPP,Int. $B,2014,552.99
algeria,economic indicators,Real GDP growth,%,2014,3.8
algeria,economic indicators,GDP per capita,US $,2014,5459
algeria,economic indicators,GDP per capita based on PPP,Int. $B,2014,14138
algeria,economic indicators,Population,million,2014,38.93
algeria,economic indicators,Land Area,sq.km,2014,2381741
algeria,economic indicators,Human Development Index,,2014,0.74
algeria,economic indicators,Inflation rate,%,2014,2.9
algeria,economic indicators,Unemployment rate,%,2014,10.6
algeria,economic indicators,Current account balance,US $B,2014,-9.4
algeria,economic indicators,Government Gross Debt (share of GDP),%,2014,8
algeria,economic indicators,International Reserves,US $B,2014,186.4
algeria,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2014,268.36
algeria,economic indicators,CO2 emissions per capita,metric tons,2014,3.64
algeria,economic indicators,GDP,US $B,2013,209.7
algeria,economic indicators,GDP based on PPP,Int. $B,2013,523.38
algeria,economic indicators,Real GDP growth,%,2013,2.8
algeria,economic indicators,GDP per capita,US $,2013,5476
algeria,economic indicators,GDP per capita based on PPP,Int. $B,2013,13666
algeria,economic indicators,Population,million,2013,38.19
algeria,economic indicators,Land Area,sq.km,2013,2381740
algeria,economic indicators,Human Development Index,,2013,0.72
algeria,economic indicators,Inflation rate,%,2013,3.3
algeria,economic indicators,Unemployment rate,%,2013,9.8
algeria,economic indicators,Current account balance,US $B,2013,0.8
algeria,economic indicators,Government Gross Debt (share of GDP),%,2013,7.7
algeria,economic indicators,International Reserves,US $B,2013,201.4
algeria,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2013,258.53
algeria,economic indicators,CO2 emissions per capita,metric tons,2013,3.44
algeria,economic indicators,GDP,US $B,2012,209.01
algeria,economic indicators,GDP based on PPP,Int. $B,2012,501.03
algeria,economic indicators,Real GDP growth,%,2012,3.3
algeria,economic indicators,GDP per capita,US $,2012,5574
algeria,economic indicators,GDP per capita based on PPP,Int. $B,2012,13363
algeria,economic indicators,Population,million,2012,37.44
algeria,economic indicators,Land Area,sq.km,2012,2381740
algeria,economic indicators,Human Development Index,,2012,0.72
algeria,economic indicators,Inflation rate,%,2012,8.9
algeria,economic indicators,Unemployment rate,%,2012,11
algeria,economic indicators,Current account balance,US $B,2012,12.3
algeria,economic indicators,Government Gross Debt (share of GDP),%,2012,9.5
algeria,economic indicators,International Reserves,US $B,2012,200.6
algeria,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2012,259.52
algeria,economic indicators,CO2 emissions per capita,metric tons,2012,3.43
algeria,economic indicators,GDP,US $B,2011,199.38
algeria,economic indicators,GDP based on PPP,Int. $B,2011,476.25
algeria,economic indicators,Real GDP growth,%,2011,2.8
algeria,economic indicators,GDP per capita,US $,2011,5431
algeria,economic indicators,GDP per capita based on PPP,Int. $B,2011,12971
algeria,economic indicators,Population,million,2011,36.72
algeria,economic indicators,Land Area,sq.km,2011,2381740
algeria,economic indicators,Human Development Index,,2011,0.72
algeria,economic indicators,Inflation rate,%,2011,4.5
algeria,economic indicators,Unemployment rate,%,2011,10
algeria,economic indicators,Current account balance,US $B,2011,19.8
algeria,economic indicators,Government Gross Debt (share of GDP),%,2011,9.5
algeria,economic indicators,International Reserves,US $B,2011,191.4
algeria,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2011,251.46
algeria,economic indicators,CO2 emissions per capita,metric tons,2011,3.28
algeria,economic indicators,GDP,US $B,2010,161.21
algeria,economic indicators,GDP based on PPP,Int. $B,2010,453.8
algeria,economic indicators,Real GDP growth,%,2010,3.6
algeria,economic indicators,GDP per capita,US $,2010,4481
algeria,economic indicators,GDP per capita based on PPP,Int. $B,2010,12613
algeria,economic indicators,Population,million,2010,36.04
algeria,economic indicators,Land Area,sq.km,2010,2381740
algeria,economic indicators,Human Development Index,,2010,0.71
algeria,economic indicators,Inflation rate,%,2010,3.9
algeria,economic indicators,Unemployment rate,%,2010,10
algeria,economic indicators,Current account balance,US $B,2010,12.2
